frame,time_extract,time_match,time_essential,time_pose,time_total,n_keypoints,n_matches,n_inliers,inlier_ratio,translation_mag
26,0.31019328499996845,0.011203648999980942,0.01519195499986381,0.0023013859999991837,0.3388902749998124,1239,296,185,0.625,0.21311028937552004
27,0.3074547290002556,0.01118385399968247,0.02072408499998346,0.0021283479995872767,0.3414910159995088,1156,270,159,0.5888888888888889,0.21311028937552007
28,0.3104062110000996,0.011035927000193624,0.010001289999763685,0.002111681000315002,0.3335551090003719,1204,266,180,0.6766917293233082,0.21311028937552004
29,0.3165261419999297,0.010709239999869169,0.012113396999666293,0.0020718099999612605,0.3414205889994264,1149,261,170,0.6513409961685823,0.21311028937552007
30,0.30803465700000743,0.010608108999804244,0.010369922000336373,0.0020247920001565944,0.33103748000030464,1192,255,171,0.6705882352941176,0.21311028937552007
31,0.31500264800024524,0.010843832000318798,0.0072986790000868496,0.002022569000018848,0.33516772800066974,1173,254,182,0.7165354330708661,0.21311028937552007
32,0.3148046850001265,0.011067666999679204,0.014408596999601286,0.00205699599973741,0.3423379449991444,1226,258,163,0.6317829457364341,0.21311028937552004
33,0.31119564100026764,0.011657968000235996,0.013089995000427734,0.002265792999878613,0.33820939700081,1220,287,185,0.6445993031358885,0.21311028937552007
34,0.3092984980003166,0.011916691999886098,0.011814727999990282,0.002058033000139403,0.3350879510003324,1263,260,170,0.6538461538461539,0.21311028937552004
35,0.3110797320000529,0.01168357799997466,0.014279670000178157,0.0022645889998784696,0.3393075690000842,1176,286,181,0.6328671328671329,0.21311028937552007
36,0.3095261839998784,0.010309457999937877,0.016261591000329645,0.0022084960000938736,0.3383057290002398,1127,279,172,0.6164874551971327,0.21311028937552007
37,0.3102615030002198,0.010303255000053468,0.03625620799994067,0.002046477000021696,0.35886744300023565,1177,256,135,0.52734375,0.21311028937552007
38,0.3109890819996508,0.010238976999971783,0.03608846599991011,0.0020048100000167324,0.35932133499954944,1130,252,133,0.5277777777777778,0.2131102893755201
39,0.3117050119999476,0.010395328999948106,0.020054801999776828,0.0018662530001165578,0.3440213959997891,1177,233,138,0.592274678111588,0.21311028937552007
40,0.3130612250001832,0.010914166000020487,0.020934716000283515,0.0022354409998115443,0.34714554800029873,1193,283,166,0.5865724381625441,0.21311028937552
41,0.3127253699999528,0.010915314000158105,0.03276185100003204,0.00220149599999786,0.3586040310001408,1170,277,149,0.5379061371841155,0.21311028937552004
42,0.31459171599999536,0.00988897499973973,0.03112480299978415,0.0018985680003424932,0.35750406199986173,1097,239,130,0.5439330543933054,0.21311028937552007
